Liver_1_ctrl	Liver_1_treat1	Liver_1_treat2	Liver_2_ctrl1	Liver_2_ctrl2	Liver_2_ctrl3	Liver_2_treat1	Liver_2_treat2	Liver_2_treat3	Adipo_1_ctrl	Adipo_1_treat1	Adipo_1_treat2	Adipo_2_ctrl1	Adipo_2_ctrl2	Adipo_2_ctrl3	Adipo_2_treat1	Adipo_2_treat2	Adipo_2_treat3
1700016F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016H03Rik	7	0	0	0	6	0	1	5	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016J18Rik	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016L21Rik	1	0	1	1	4	14	0	0	5	1	0	2	0	0	0	0	57	0
1700016P03Rik	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1700017B05Rik	188	47	152	134.02	64	175	192	172	170	72	89	119	0	0	0	0	0	1
1700017G19Rik	0	1	1	2	0	0	0	40	0	2	0	0	0	0	0	0	0	0
1700017I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	8	0	1	0	0	0	0	0	2	0	0	0	0	0	0
1700017L05Rik	11	0	26.99	20	11	21	32	15.1	0	6	7	3	0	0	0	0	0	0
1700017M07Rik	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
1700018A04Rik	5	7	20	18	13	27	21	15	1	0	0	5	0	0	0	0	0	0
1700018A14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
