pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.0230966638152267	0.217534689813951	0.482206828960427	1.62939185153971	26	16	CDC23;ANAPC4;UBE2C;CDC26;BUB1B;ANAPC2;UBE2S;BUB3;CDC20	0.662471477130156
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_FISSION	0.0234375	0.217534689813951	0.43849130966372	1.56726983773334	23	19	DCN;SPIRE1;PGAM5;MUL1	0.662471477130156
REACTOME_MTORC1_MEDIATED_SIGNALLING	0.0236139630390144	0.217534689813951	0.431181680656734	1.56428865305784	22	20	LAMTOR4;YWHAB;EIF4EBP1;RRAGA;LAMTOR3;EEF2K;RRAGC;RRAGD;LAMTOR1;LAMTOR5;LAMTOR2	0.662471477130156
GOBP_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	0.0242424242424242	0.219990954319313	0.454395727560903	1.5749616051	27	17	MUL1;SLC35F6;BAK1;SIVA1;SLC25A43;LRRK2;BCL2L1;BOK;ATP5IF1	0.657595176314035
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0256410256410256	0.225938312894835	0.420190288650688	2.12976349826172	0	91	ACTR3;RALB;PIK3R3;DAPP1;CDKN1A;CXCR4;LCK;CDK2;NFKBIB;VAV3;MYD88;IRAK4;IL2RG;MAPK1;GRB2;CDKN1B;UBE2N;RIPK1;RAF1;TIAM1;PFN1;YWHAB;AP2M1;MAPK9;CDK4;PRKCB;SLA;ACTR2;CDK1;MAPK8;CFL1;PIKFYVE;ARPC3;NOD1;MKNK2;TRIB3;MAPK10	0.64601011849102
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	0.0256410256410256	0.225938312894835	0.342604098942692	1.77472500328744	0	92	MAPRE1;RCC2;CENPP;CENPO;NSL1;CDC23;CENPN;PPP2R5D;RPS27;ANAPC4;UBE2C;ERCC6L;CDC26;KNL1;CENPE;KNTC1;CENPM;BUB1;BUB1B;ZW10;CENPI;ANAPC2;AHCTF1;CKAP5;MAD1L1;SGO2;DYNC1LI2;SEC13;NUP133;UBE2S;NUP107;NDC80;BUB3;DYNLL1;AURKB;INCENP;SKA2	0.64601011849102
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION	0.0271867612293144	0.23613644039176	0.401652525824598	1.51284417016493	22	23	DELE1;MUL1;GBA1;NOD2;PARK7;CERS1;SLC25A43	0.626836987762952
GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.0280941533788914	0.240580919075577	0.506162677598552	1.63257746543149	36	14	ACSS1;OXSM;ACOT9;ACSS2;THNSL2;PHYH	0.618738820341129
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION	0.0303030303030303	0.254199355647918	0.316369077589987	1.64394113865067	0	93	PYCARD;DCN;SSBP1;PLAUR;SPIRE1;TP53;PGAM5;FXN;MUL1;BAD;PARL;PDE2A;MOAP1;LMNA;SLC35F6;BAK1;EP300;SIVA1;PPARG;RALA;SLC25A43;GOLPH3;LRRK2;IFI6;PPIF;BCL2L1;MCU;BOK;ATP5IF1;FAM162A;MIEF2;OPA1;RAP1GDS1;GHITM;MICU1;STOX1;NOL3;DDHD1;TMEM135;YME1L1	0.594825554643176
GOBP_MITOCHONDRIAL_FUSION	0.0305206463195691	0.254199355647918	0.351057814172869	1.45742501234763	16	31	THG1L;BCL2A1;MUL1;RCC1L;PARL	0.594825554643176
