pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
GOBP_AXONEMAL_CENTRAL_APPARATUS_ASSEMBLY	0.0135850135850136	0.112846179512846	-0.803555124158543	-1.53237072571268	94	6	SPAG17;SPEF1;DNAJB13;CFAP91	0.947513139683922
GOBP_LIPOPROTEIN_CATABOLIC_PROCESS	0.0147122457810472	0.120601698968321	0.645105757358668	1.78638729339356	33	12	APOC2;LDLR;NOTUM;LIPA;APOB;ATM;APOE;ABHD17C;ABHD17B	0.918646574058476
GOBP_NEGATIVE_REGULATION_OF_CHOLESTEROL_STORAGE	0.0154083204930663	0.124667320352991	0.710796001444063	1.80265062541082	39	9	TREM2;ABCG1;NR1H3;TTC39B	0.904247375313681
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	0.0166320166320166	0.132842902073671	0.446656560139149	1.56923728951692	23	29	GZMB;RAC2;USP36	0.876661645413199
GOBP_CHOLESTEROL_CATABOLIC_PROCESS	0.0184899845916795	0.141623096158218	0.699685570718175	1.77447344819553	47	9	AKR1D1;CYP7A1	0.848865915317693
GOBP_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	0.0186066637819126	0.141623096158218	0.631089248003157	1.74757363543934	42	12	APOC2;PIK3CG;APOA5;APOC1	0.848865915317693
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE	0.0188087774294671	0.141623096158218	0.413245964987041	1.50645949988528	23	34	E2F3;CDKN1A;CCND3;CCND2;UBE2S;CCNE2;E2F1;E2F2;CCNE1	0.848865915317693
GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	0.0188679245283019	0.141623096158218	0.26437716242479	1.28821474970907	0	190	ZC3H12D;IL10;CCL2;GPNMB;CENPF;PLK3;RGCC;AURKB;CDKN1A;DTL;RBM46;CDKN2D;TEX14;BMP7;PKMYT1;SKA1;FOXN3;BRSK1;TNF;GTPBP4;INHBA;BCL2;BUB1;NABP1;GEN1;DGKZ;DACT1;CRLF3;YTHDC2;HECA;DCUN1D3;BRCA1;EZH2;CDC20;BCL6;BRINP3;BABAM2;EME1;TRIM39;NUF2	0.848865915317693
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	0.0186567164179104	0.141623096158218	0.27521079408779	1.25115008556932	4	111	AIF1;TGFB1;RGCC;DTL;CDC25B;CDC25C;CCND3;SKA1;PLCB1;CCND2;DLGAP5;ANXA1;DDX3X;CCNE2;RPS6KB1;CDC20;STAT5A;PAFAH1B1;ESPL1;CCNE1;UBE2E2;SHB;EIF4E;MEPCE	0.848865915317693
GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	0.019859064702114	0.147288063207346	0.462252022078335	1.56535561300841	30	25	TREM2;HMOX1;LDLR;SOAT2;EHD1	0.831832448630857
GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE	0.0209371884346959	0.153457275233124	0.775371641508277	1.70721073920858	62	6	APOC2;APOC1;LIPA	0.814012517341622
GOBP_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	0.0216118865375957	0.156560526894443	0.615023076081212	1.73702937482092	47	13	TREM2;LDLR	0.805317725757285
GOBP_REGULATION_OF_ADIPONECTIN_SECRETION	0.0259165613147914	0.185586410334656	0.802069954792752	1.65931620027581	81	5	IL1B;RAB11FIP1;RAB11FIP5	0.731453828401371
GOBP_CAMKK_AMPK_SIGNALING_CASCADE	0.0274122807017544	0.194066487240829	0.697594063056625	1.7032535975176	74	8	TREM2;PCP4;LRRK2;KCNJ8	0.712049455147378
GOBP_RESPONSE_TO_INSULIN	0.03125	0.21875	0.278102356787182	1.36621189069284	0	221	IL1B;AHSG;IL10;PRKCB;IGF1;UCP2;HMGCS2;FUT7;IGFBP1;HDAC9;PKLR;OTC;COL1A1;PTPN1;PCK1;GHR;PDE3B;PRKCQ;SLC25A44;LYN;CEACAM1;NDEL1;SREBF1;SLC2A1;KBTBD2;FOXO1;ACVR1C;RAB31;TRPV4;SOCS7;PIP4K2A;GRB2;TRIB3;INSIG1;INPP5K;STAT1;RPS6KB1;SESN3;CRY1;PTPRJ;KAT2B;EGR1;LPIN2;PTPN2;OSBPL8;SYAP1;MAPK1;NAMPT;CFLAR;GCNT1	0.660051938305649
GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE	0.0319675821701936	0.221286707689229	0.579899783274304	1.63782953384133	70	13	ENO2;HK1;HK2;HK3;GALK1;GCK;FOXK2;BCL2L13	0.655044672609554
GOBP_CELLULAR_RESPONSE_TO_OXIDISED_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS	0.0333189095629598	0.228106380854109	0.595972820992607	1.6503313797542	76	12	TREM2;ADTRP;TLR4;CD68	0.641862565968552
GOBP_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.036330608537693	0.246021403467204	0.369753031992763	1.4049887111542	39	40	IL1B;CD74;PTGS2;PTGES;TBXAS1;HPGDS	0.609027108330175
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	0.0376811594202899	0.252423250740221	0.35701705978574	1.37453185576937	38	42	BCL2A1;PYCARD;IGF1	0.597870644661203
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	0.0392666753348069	0.260246156740263	-0.654681332856446	-1.46817699628275	301	12	MOGAT1;MOGAT2;LPIN3;GPAT2	0.584615675338352
GOBP_NEGATIVE_REGULATION_OF_LIPID_TRANSPORT	0.0406800242865817	0.265903355106888	0.448699865958591	1.49336346723768	66	23	APOC2;APOA2;APOC1	0.575276182806774
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_EFFLUX	0.0409738717339667	0.265903355106888	0.452828193775947	1.48308921361917	68	22	TREM2;PON1;NFKB1;ABCG1;ABCA8;PLTP;NR1H3;SIRT1;ABCA7	0.575276182806774
GOBP_NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	0.0435360584911931	0.276764943265442	0.728023951825213	1.60296075123326	130	6	LDLR	0.557888921117642
GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS	0.0434782608695652	0.276764943265442	0.28845326492737	1.25356764621769	20	82	CXCR4;CCR2;UCP2;TRPV2;PLAC8;EBF2;IRF4;CMKLR1;SFXN5;ADRB2;GJA1;SYK;G0S2;LEPR;ACSL1;OXT	0.557888921117642
GOBP_GLUCOSE_CATABOLIC_PROCESS	0.0448891292590589	0.282484116448421	0.485213964311303	1.52580406414114	82	19	ENO2;HK1;HK2;CCND2;ACTN3;HK3	0.549005966721479
GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	0.047052460789616	0.287389049724811	0.478962327533108	1.50614516413969	86	19	APOC2;APOA5;LDLR;SREBF1;CNEP1R1	0.541529783643303
GOBP_NEGATIVE_REGULATION_OF_LIPID_STORAGE	0.047052460789616	0.287389049724811	0.478549656275255	1.50484747790496	86	19	TREM2;TNF;IL6;ABCG1;PTPN2;NR1H3;NFKBIA;TTC39B;ABHD5	0.541529783643303
GOBP_POSITIVE_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	0.0466386554621849	0.287389049724811	-0.723954828443914	-1.43019025319486	332	7	LMO3;LEP;ALOX15B	0.541529783643303
GOBP_REGULATION_OF_SREBP_SIGNALING_PATHWAY	0.0511695906432749	0.304641843379529	0.653500459672241	1.59559415405432	139	8	FBXW7;INSIG1;PAQR3	0.516210445383542
GOBP_MITOTIC_NUCLEAR_MEMBRANE_DISASSEMBLY	0.0515350877192982	0.304641843379529	0.652033887154974	1.59201335391805	140	8	PRKCB;LPIN1;CDK1;PLK1;PRKCA;CTDNEP1;NEK6	0.516210445383542
GOBP_REGULATION_OF_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	0.0508474576271186	0.304641843379529	0.621759274848609	1.5768444720901	131	9	AURKB;KAT2B;SIRT1;CDCA8;CDK1;BECN1;HNRNPU	0.516210445383542
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_MITOCHONDRION	0.0518331226295828	0.304641843379529	0.760172743970327	1.57263957032776	163	5	HK1;HK2	0.516210445383542
GOBP_REGULATION_OF_LONG_CHAIN_FATTY_ACID_IMPORT_INTO_CELL	0.0524109014675052	0.305158800133231	0.682567989300045	1.58627908314306	149	7	ACSL1;FABP3;THBS1;EPRS1;AKT1;ACSL5;AKT2	0.515474101394116
GOBP_REVERSE_CHOLESTEROL_TRANSPORT	0.0538283062645012	0.310509581507261	0.521080466627323	1.51007741205574	115	14	APOC2;APOA2	0.507924994097612
